hsid,hsname.1,nickname,city
8805,Orange Lutheran,Lancers,"Orange,CA"
1920,Capistrano Valley,Cougars,"Mission Viejo,CA"
12546,JSerra Catholic,Lions,"San Juan Capistrano,CA"
549,Jesuit,Tigers,"Tampa,FL"
51,Huntington Beach,Oilers,"Huntington Beach,CA"
3161,Avon Old Farms Prep School,Beavers,"Avon Old Farms,CT"
1151,De La Salle,Spartans,"Concord,CA"
1588,Archbishop Moeller,Crusaders,"Cincinnati,OH"
4154,Damien,Spartans,"La Verne,CA"
473,Keller,Indians,"Keller,TX"
5004,Hamilton,Huskies,"Chandler,AZ"
1561,Southlake Carroll,Dragons,"Southlake,TX"
2196,Bishop Gorman,Gaels,"Las Vegas,NV"
2397,Marcus,Marauders,"Flower Mound,TX"
720,Notre Dame,Knights,"Sherman Oaks,CA"
3031,American Heritage,Patriots,"Plantation,FL"
8141,Vacaville,Bulldogs,"Vacaville,CA"
4280,Don Bosco Prep,Ironmen,"Ramsey,NJ"
2711,Valley Christian,Warriors,"San Jose,CA"
12675,Huntley,Red Raiders,"Huntley,IL"
46,Junipero Serra,Padres,"San Mateo,CA"
544,St. John Bosco,Braves,"Bellflower,CA"
4636,Flower Mound,Jaguars,"Flower Mound,TX"
2489,San Marcos,Knights,"San Marcos,CA"
5065,Harvard-Westlake,Wolverines,"North Hollywood,CA"
10306,Stoneman Douglas,Eagles,"Parkland,FL"
237,Horizon,Huskies,"Scottsdale,AZ"
12556,Cathedral Catholic,Dons,"San Diego,CA"
553,Parkview,Panthers,"Lilburn,GA"
1164,Iolani,Raiders,"Honolulu,HI"
6228,Minooka Community,Indians,"Minooka,IL"
118,Servite,Friars,"Anaheim,CA"
1959,Trinity,Shamrocks,"Louisville,KY"
3822,Chaminade,Flyers,"Mineola,NY"
748,Redondo Union,Seahawks,"Redondo Beach,CA"
135,St. John's College,Cadets,"Washington,DC"
14975,Calvary Christian,Warriors,"Clearwater,FL"
1363,Mater Dei,Monarchs,"Santa Ana,CA"
156,Walton,Raiders,"Marietta,GA"
147,Rancho Bernardo,Broncos,"San Diego,CA"
